BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0201.c,AcuteagSettings,platform,2018-05-30 18:54:03,I180530001,v1.0.1.0201.c_0530         
acuteag_dev_1.0.1,v1.0.1.0101.j,AcuteagLauncher,shared,2018-05-30 18:57:24,I180530001,v1.0.1.0101.j_0530         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagNote,platform,2018-05-30 21:06:17,I180530001,v1.0.1.0201.1_0530         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagNote,platform,2018-05-31 11:08:45,I180531002,v1.0.1.0201.2_0531         
acuteag_dev_1.0.1,v1.0.1.0202.2,AcuteagSystemUI,platform,2018-05-31 11:31:21,I180531001,v1.0.1.0202.2_0531         
acuteag_dev_1.0.1,v1.0.1.0101.6,AcuteagInCallUI,platform,2018-05-31 15:16:43,I180531001,v1.0.1.0101.6_0531         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagTelecomm,platform,2018-05-31 15:40:55,I180531001,v1.0.1.0101.5_0531         
acuteag_dev_1.0.1,v1.0.1.0101.k,AcuteagLauncher,shared,2018-05-31 17:44:44,I180531001,v1.0.1.0101.k_0531         
acuteag_dev_1.0.1,v1.0.1.0202.3,AcuteagSystemUI,platform,2018-06-01 16:35:50,I180601001,v1.0.1.0202.3_0601         
acuteag_dev_1.0.1,v1.0.1.0201.e,AcuteagMusic,platform,2018-06-01 17:37:41,I180601003,v1.0.1.0201.e_0601         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagDocumentsUI,platform,2018-06-04 14:45:32,I180604001,v1.0.1.0201.1_0604         
acuteag_dev_1.0.1,v1.0.1.0201.f,AcuteagMusic,platform,2018-06-04 20:11:11,I180604001,v1.0.1.0201.f_0604         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagWallet,acuteag3rd,2018-06-04 20:34:38,I180604001,V1.0.1.0201.1_0604         
acuteag_dev_1.0.1,v1.0.1.0202.4,AcuteagSystemUI,platform,2018-06-05 17:11:04,I180605006,v1.0.1.0202.4_0605         
acuteag_dev_1.0.1,v1.0.1.0101.a,AcuteagDialer,shared,2018-06-05 17:29:54,I180605003,v1.0.1.0101.a_0605         
acuteag_dev_1.0.1,v1.0.1.0101.h,AcuteagMms,platform,2018-06-05 18:35:04,I180605001,v1.0.1.0101.h_0605         
